2026-09-17 12:01:29,520 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.9899810962584, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10073913596950444, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:30,521 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.19721361922734, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10326031925121981, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:31,523 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.8000364825931, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10577911947011537, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:32,525 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.03920402139397, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.10829935469424373, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:33,526 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.0805545950695, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11081983802181415, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:34,528 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.3578430549597, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11334198508014391, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:35,529 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.70487886859013, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11586621435335545, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:36,530 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.964868059104, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.11839200356171008, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:37,532 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 421.2624854831053, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.12091957847460871, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:38,533 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.9356732406184, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.12344519251405242, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:39,534 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.5973628774988, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.12596877669131742, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
